Repository_Name,Primary_Language,Stars_Count,Forks_Count,Open_Issues,Repository_Age_Months,Days_Since_Last_Update,Activity_Month,Monthly_Commit_Velocity,Total_Contributors,Active_Contributors_Last_30_Days,Total_Issues,Issue_Resolution_Rate,Total_Pull_Requests,PR_Merge_Rate,Release_Frequency,Contributor_Churn_Rate,Activity_Status
AUTOMATIC1111/stable-diffusion-webui,Python,160563,29961,2458,42,59,5,136,250,53,1912,0.753496829,2639,0.793781098,10,0.151288597,Active
AUTOMATIC1111/stable-diffusion-webui,Python,160563,29961,2458,42,59,6,178,112,72,2507,0.4374911,1780,0.618274104,1,0.161890428,Active
jlevy/the-art-of-command-line,,159848,14773,251,130,600,1,174,34,17,2654,0.569153409,1424,0.830313752,8,0.335751204,Declining
jlevy/the-art-of-command-line,,159848,14773,251,130,600,2,144,193,20,1484,0.563080549,1660,0.890787347,10,0.098723028,Active
jlevy/the-art-of-command-line,,159848,14773,251,130,600,3,30,43,69,4001,0.789597316,121,0.614936144,0,0.449705302,Declining
jlevy/the-art-of-command-line,,159848,14773,251,130,600,4,188,292,23,3077,0.485475777,146,0.898483505,10,0.056839106,Active
jlevy/the-art-of-command-line,,159848,14773,251,130,600,5,22,298,70,4802,0.928265949,55,0.911744062,6,0.103630841,Declining
jlevy/the-art-of-command-line,,159848,14773,251,130,600,6,141,198,79,4816,0.945334726,289,0.68194161,0,0.142828034,Active
huggingface/transformers,Python,156526,32086,2271,88,0,1,141,196,62,2282,0.494702156,2569,0.840041473,7,0.265594852,Declining
huggingface/transformers,Python,156526,32086,2271,88,0,2,173,27,69,871,0.931393241,202,0.655185426,5,0.157003941,Declining
huggingface/transformers,Python,156526,32086,2271,88,0,3,42,231,4,1275,0.460869041,3236,0.584590187,10,0.28287854,Declining
huggingface/transformers,Python,156526,32086,2271,88,0,4,33,292,49,3475,0.554779201,1880,0.95967734,1,0.056255884,Declining
huggingface/transformers,Python,156526,32086,2271,88,0,5,55,119,33,2962,0.46930181,2180,0.524784899,11,0.367046664,Active
huggingface/transformers,Python,156526,32086,2271,88,0,6,195,299,66,4695,0.884020157,3989,0.756889758,3,0.488643034,Declining
Snailclimb/JavaGuide,Java,153808,46114,74,94,3,1,137,112,47,915,0.88071442,958,0.64463227,1,0.13696112,Active
Snailclimb/JavaGuide,Java,153808,46114,74,94,3,2,164,106,57,1680,0.799147303,3625,0.934378455,6,0.111017994,Declining
Snailclimb/JavaGuide,Java,153808,46114,74,94,3,3,184,57,62,1773,0.438790616,1107,0.833958931,6,0.468197521,Active
Snailclimb/JavaGuide,Java,153808,46114,74,94,3,4,132,152,33,908,0.496310822,3003,0.603604941,2,0.428159264,Active
Snailclimb/JavaGuide,Java,153808,46114,74,94,3,5,147,10,56,3625,0.843103407,171,0.563814558,0,0.381024102,Active
Snailclimb/JavaGuide,Java,153808,46114,74,94,3,6,149,185,60,2131,0.838268268,2540,0.543021785,10,0.410251674,Active
airbnb/javascript,JavaScript,148090,26763,185,161,102,1,99,83,61,3481,0.473550461,3204,0.710544483,6,0.48383829,Active
airbnb/javascript,JavaScript,148090,26763,185,161,102,2,178,121,52,4337,0.432224159,293,0.869150747,10,0.473715204,Declining
airbnb/javascript,JavaScript,148090,26763,185,161,102,3,108,75,88,3110,0.525951238,100,0.653173588,1,0.132024977,Active
airbnb/javascript,JavaScript,148090,26763,185,161,102,4,58,202,41,2137,0.765295038,760,0.80648144,5,0.103728111,Declining
airbnb/javascript,JavaScript,148090,26763,185,161,102,5,46,59,60,2624,0.820494641,1840,0.639637633,4,0.360796979,Declining
airbnb/javascript,JavaScript,148090,26763,185,161,102,6,188,287,20,343,0.945149154,1644,0.888086982,5,0.050311575,Active
DigitalPlatDev/FreeDomain,HTML,147752,2570,28,20,37,1,10,145,77,4242,0.800823774,500,0.891843606,8,0.170251727,Declining
DigitalPlatDev/FreeDomain,HTML,147752,2570,28,20,37,2,154,246,50,414,0.616482598,2266,0.827722402,11,0.102581841,Active
DigitalPlatDev/FreeDomain,HTML,147752,2570,28,20,37,3,65,242,32,3790,0.697188063,1731,0.559002898,11,0.384083924,Active
DigitalPlatDev/FreeDomain,HTML,147752,2570,28,20,37,4,38,105,18,2509,0.727199035,2971,0.538203737,3,0.243017244,Declining
DigitalPlatDev/FreeDomain,HTML,147752,2570,28,20,37,5,49,288,12,1555,0.621138531,1002,0.751973457,6,0.080109236,Active
DigitalPlatDev/FreeDomain,HTML,147752,2570,28,20,37,6,194,144,86,118,0.883826341,788,0.501794862,1,0.327321788,Declining
yt-dlp/yt-dlp,Python,147338,11930,2321,64,4,1,199,224,3,468,0.422905215,3676,0.625753279,9,0.156299888,Active
yt-dlp/yt-dlp,Python,147338,11930,2321,64,4,2,161,165,90,101,0.605555528,3907,0.613654435,0,0.08719032,Active
yt-dlp/yt-dlp,Python,147338,11930,2321,64,4,3,121,101,48,2171,0.712264897,1742,0.702863128,6,0.057703623,Active
yt-dlp/yt-dlp,Python,147338,11930,2321,64,4,4,96,83,62,953,0.941625662,1169,0.817654188,1,0.394867188,Active
yt-dlp/yt-dlp,Python,147338,11930,2321,64,4,5,100,163,59,3707,0.642231673,3127,0.912023292,9,0.434586558,Active
yt-dlp/yt-dlp,Python,147338,11930,2321,64,4,6,23,19,69,4257,0.730228496,773,0.516895912,9,0.332951357,Declining
f/prompts.chat,HTML,145332,19171,6,38,0,1,33,7,14,1909,0.580276724,3661,0.753364634,8,0.117052937,Active
f/prompts.chat,HTML,145332,19171,6,38,0,2,77,164,46,2310,0.402303828,3893,0.53635047,9,0.466775964,Declining
f/prompts.chat,HTML,145332,19171,6,38,0,3,14,199,67,1700,0.648939088,1559,0.778820319,5,0.410656542,Active
f/prompts.chat,HTML,145332,19171,6,38,0,4,59,28,4,1180,0.606201122,2148,0.782770711,1,0.112475177,Declining
f/prompts.chat,HTML,145332,19171,6,38,0,5,19,255,72,3097,0.689373217,2531,0.932582986,7,0.279138329,Active
f/prompts.chat,HTML,145332,19171,6,38,0,6,62,131,75,4911,0.747833334,2249,0.975758983,4,0.211850836,Active
langflow-ai/langflow,Python,144826,8462,1013,36,0,1,185,168,80,4864,0.740672451,589,0.784441286,10,0.149190012,Declining
langflow-ai/langflow,Python,144826,8462,1013,36,0,2,30,255,28,434,0.944705282,1728,0.880250381,1,0.499978834,Declining
langflow-ai/langflow,Python,144826,8462,1013,36,0,3,180,152,41,3026,0.776101999,2209,0.627106347,10,0.416754764,Active
langflow-ai/langflow,Python,144826,8462,1013,36,0,4,144,248,90,1977,0.52331444,2799,0.788860471,11,0.475402486,Declining
langflow-ai/langflow,Python,144826,8462,1013,36,0,5,69,164,87,4833,0.931982277,2720,0.813232375,5,0.261040283,Declining
langflow-ai/langflow,Python,144826,8462,1013,36,0,6,51,136,40,4481,0.577019235,1264,0.762988598,4,0.076709252,Declining
521xueweihan/HelloGitHub,Python,143127,11117,269,119,19,1,80,173,39,3875,0.783547172,2296,0.507295032,1,0.169889372,Active
521xueweihan/HelloGitHub,Python,143127,11117,269,119,19,2,97,245,87,1252,0.912761907,3935,0.602041371,0,0.339422287,Declining
521xueweihan/HelloGitHub,Python,143127,11117,269,119,19,3,169,19,80,1980,0.550464888,1501,0.780234577,0,0.070683906,Declining
521xueweihan/HelloGitHub,Python,143127,11117,269,119,19,4,23,157,82,1703,0.707887321,70,0.865899162,6,0.394236147,Active
521xueweihan/HelloGitHub,Python,143127,11117,269,119,19,5,127,183,7,1726,0.70527621,551,0.871719784,10,0.316132778,Active
521xueweihan/HelloGitHub,Python,143127,11117,269,119,19,6,137,38,87,2489,0.614080797,73,0.70691302,7,0.266758544,Declining
ytdl-org/youtube-dl,Python,139658,10592,4117,186,82,1,53,128,39,4659,0.79590534,3105,0.57411667,7,0.333224973,Active
ytdl-org/youtube-dl,Python,139658,10592,4117,186,82,2,121,75,53,3112,0.804471412,1624,0.634665732,2,0.106363511,Declining
ytdl-org/youtube-dl,Python,139658,10592,4117,186,82,3,38,66,7,1833,0.860954789,627,0.831811205,3,0.3176723,Declining
ytdl-org/youtube-dl,Python,139658,10592,4117,186,82,4,159,61,96,292,0.779119457,2879,0.861990022,3,0.35940607,Active
ytdl-org/youtube-dl,Python,139658,10592,4117,186,82,5,10,172,79,885,0.532975794,2675,0.570914547,5,0.050420974,Declining
ytdl-org/youtube-dl,Python,139658,10592,4117,186,82,6,47,248,62,1975,0.467241247,1217,0.591451504,4,0.196253263,Declining
vercel/next.js,JavaScript,137701,30465,3345,114,0,1,33,259,96,4652,0.51957547,904,0.728082535,11,0.291151872,Active
vercel/next.js,JavaScript,137701,30465,3345,114,0,2,93,38,65,2007,0.457018161,523,0.714261126,2,0.249648043,Active
vercel/next.js,JavaScript,137701,30465,3345,114,0,3,148,196,51,4964,0.908267638,2142,0.921358357,10,0.097880427,Active
vercel/next.js,JavaScript,137701,30465,3345,114,0,4,126,249,32,4196,0.55932082,956,0.968631289,11,0.131708038,Active
vercel/next.js,JavaScript,137701,30465,3345,114,0,5,179,170,59,265,0.585726581,2539,0.61932372,6,0.362085096,Declining
vercel/next.js,JavaScript,137701,30465,3345,114,0,6,181,10,84,1349,0.678464342,558,0.631130561,10,0.298233143,Active
yangshun/tech-interview-handbook,TypeScript,137629,16445,59,117,21,1,9,66,92,2779,0.733163964,2105,0.780131936,11,0.181721436,Declining
yangshun/tech-interview-handbook,TypeScript,137629,16445,59,117,21,2,43,221,87,4894,0.791878466,3889,0.691643195,3,0.46579007,Active
yangshun/tech-interview-handbook,TypeScript,137629,16445,59,117,21,3,179,295,80,1194,0.857605906,2206,0.591875084,3,0.062779211,Declining
yangshun/tech-interview-handbook,TypeScript,137629,16445,59,117,21,4,185,91,51,3925,0.934081913,975,0.629851308,5,0.179378128,Active
yangshun/tech-interview-handbook,TypeScript,137629,16445,59,117,21,5,81,182,42,4803,0.459132387,2728,0.95356664,10,0.470106719,Declining
yangshun/tech-interview-handbook,TypeScript,137629,16445,59,117,21,6,126,280,25,4161,0.582419696,2683,0.93573318,3,0.257769095,Active
Genymobile/scrcpy,C,135738,12652,2740,100,3,1,173,81,80,2920,0.874877039,1940,0.682328608,1,0.498133556,Declining
Genymobile/scrcpy,C,135738,12652,2740,100,3,2,117,288,77,2358,0.931420817,3086,0.871716818,2,0.263732678,Declining
Genymobile/scrcpy,C,135738,12652,2740,100,3,3,39,98,21,449,0.620571004,261,0.793525191,8,0.138866996,Declining
Genymobile/scrcpy,C,135738,12652,2740,100,3,4,12,160,35,4210,0.577227472,2949,0.956009778,2,0.190420723,Declining
Genymobile/scrcpy,C,135738,12652,2740,100,3,5,179,71,66,1199,0.451919274,2644,0.83932163,1,0.296083928,Active
Genymobile/scrcpy,C,135738,12652,2740,100,3,6,112,224,80,4986,0.555694658,2186,0.638816042,4,0.240180866,Active
labuladong/fucking-algorithm,Markdown,132615,23698,2,72,28,1,70,131,40,3254,0.921997158,1401,0.857217938,10,0.254749247,Declining
labuladong/fucking-algorithm,Markdown,132615,23698,2,72,28,2,105,109,76,933,0.781787186,1187,0.903550292,1,0.073462642,Active
labuladong/fucking-algorithm,Markdown,132615,23698,2,72,28,3,91,250,38,2575,0.442226011,3481,0.753750248,1,0.361601759,Active
labuladong/fucking-algorithm,Markdown,132615,23698,2,72,28,4,62,74,29,303,0.530857462,87,0.930913253,11,0.44939497,Active
labuladong/fucking-algorithm,Markdown,132615,23698,2,72,28,5,70,78,86,137,0.719260868,305,0.816473377,5,0.320509585,Active
labuladong/fucking-algorithm,Markdown,132615,23698,2,72,28,6,86,69,43,3111,0.547167968,2075,0.901278863,7,0.454849314,Active
golang/go,Go,132494,18819,9847,139,0,1,37,8,1,363,0.80820058,121,0.760803481,11,0.410264298,Declining
golang/go,Go,132494,18819,9847,139,0,2,156,246,98,2992,0.732403875,2144,0.899418929,8,0.358116843,Declining
golang/go,Go,132494,18819,9847,139,0,3,13,283,67,437,0.429369437,1508,0.830808049,2,0.229316102,Active
golang/go,Go,132494,18819,9847,139,0,4,161,254,28,1073,0.430384593,3209,0.887643615,7,0.388654163,Declining
golang/go,Go,132494,18819,9847,139,0,5,63,274,44,73,0.621517948,2105,0.941390729,0,0.265276062,Active
golang/go,Go,132494,18819,9847,139,0,6,73,178,29,3998,0.506122511,3667,0.664722637,9,0.12546987,Declining
microsoft/PowerToys,C#,129827,7717,8163,82,0,1,192,16,88,2683,0.596129415,3587,0.849001015,1,0.101280984,Active
microsoft/PowerToys,C#,129827,7717,8163,82,0,2,79,191,77,414,0.76505267,2525,0.650002849,5,0.130523454,Active
microsoft/PowerToys,C#,129827,7717,8163,82,0,3,90,169,29,262,0.630951945,2393,0.704880065,4,0.101304046,Declining
microsoft/PowerToys,C#,129827,7717,8163,82,0,4,63,233,52,4003,0.626495771,2151,0.539548057,9,0.059229229,Declining
microsoft/PowerToys,C#,129827,7717,8163,82,0,5,183,281,75,3692,0.610886554,2960,0.514016613,5,0.4741167,Active
microsoft/PowerToys,C#,129827,7717,8163,82,0,6,67,63,83,4504,0.692414042,322,0.736250938,6,0.108633023,Declining
langgenius/dify,TypeScript,129679,20171,729,34,0,1,39,94,29,4644,0.90220171,2896,0.780059727,7,0.360586663,Active
langgenius/dify,TypeScript,129679,20171,729,34,0,2,87,158,28,2586,0.720407578,421,0.673904751,1,0.062479887,Declining
langgenius/dify,TypeScript,129679,20171,729,34,0,3,14,57,21,256,0.523225393,1419,0.612454908,10,0.46751331,Active
langgenius/dify,TypeScript,129679,20171,729,34,0,4,196,257,61,2615,0.755684824,1988,0.543899798,2,0.135784969,Declining
langgenius/dify,TypeScript,129679,20171,729,34,0,5,182,130,16,2742,0.752047261,1215,0.799463498,4,0.206784667,Active
langgenius/dify,TypeScript,129679,20171,729,34,0,6,53,53,41,2141,0.752038904,3509,0.60832792,1,0.244646766,Declining
Chalarangelo/30-seconds-of-code,JavaScript,126786,12438,0,100,9,1,118,8,85,4359,0.528697759,2764,0.726721062,5,0.36357205,Active
Chalarangelo/30-seconds-of-code,JavaScript,126786,12438,0,100,9,2,96,42,63,2423,0.819381337,3469,0.671948616,10,0.43224562,Declining
Chalarangelo/30-seconds-of-code,JavaScript,126786,12438,0,100,9,3,140,191,44,2656,0.628094436,2653,0.795163129,7,0.169977201,Declining
Chalarangelo/30-seconds-of-code,JavaScript,126786,12438,0,100,9,4,111,287,71,4099,0.66922826,413,0.824183721,6,0.233254289,Active
Chalarangelo/30-seconds-of-code,JavaScript,126786,12438,0,100,9,5,88,287,78,2753,0.401659338,3267,0.50927564,9,0.050915163,Active
Chalarangelo/30-seconds-of-code,JavaScript,126786,12438,0,100,9,6,77,292,52,1986,0.650785008,1392,0.795507162,1,0.307319318,Active
langchain-ai/langchain,Python,126727,20852,393,40,0,1,53,117,60,3155,0.461907836,3668,0.87792711,10,0.24764581,Active
langchain-ai/langchain,Python,126727,20852,393,40,0,2,86,228,81,4070,0.67045009,3412,0.607794489,11,0.380414577,Declining
langchain-ai/langchain,Python,126727,20852,393,40,0,3,86,11,40,639,0.819148262,968,0.664930387,7,0.4399153,Active
langchain-ai/langchain,Python,126727,20852,393,40,0,4,68,296,86,2578,0.460671286,175,0.618913775,8,0.301273285,Active
langchain-ai/langchain,Python,126727,20852,393,40,0,5,125,50,54,4508,0.783950706,3449,0.883266156,4,0.309537884,Active
langchain-ai/langchain,Python,126727,20852,393,40,0,6,157,290,61,3668,0.512146199,3960,0.862480604,10,0.14144879,Declining
facebook/react-native,C++,125377,25087,1185,135,0,1,42,145,97,1300,0.70957486,2026,0.530463698,10,0.240692276,Declining
facebook/react-native,C++,125377,25087,1185,135,0,2,13,27,30,1036,0.683712946,2088,0.610677493,7,0.216888792,Declining
facebook/react-native,C++,125377,25087,1185,135,0,3,116,181,99,3436,0.944880643,1307,0.817027948,3,0.283308903,Active
facebook/react-native,C++,125377,25087,1185,135,0,4,151,45,31,4842,0.535531653,1837,0.621011997,11,0.160631213,Active
facebook/react-native,C++,125377,25087,1185,135,0,5,78,120,76,2247,0.479069858,3559,0.681779503,5,0.158938924,Declining
facebook/react-native,C++,125377,25087,1185,135,0,6,66,96,87,4167,0.778362452,2566,0.652897266,9,0.157256791,Declining
open-webui/open-webui,Python,124061,17519,237,28,0,1,199,232,40,4524,0.936673641,2819,0.745624056,4,0.320184932,Declining
open-webui/open-webui,Python,124061,17519,237,28,0,2,68,67,28,4255,0.524766018,2820,0.673262053,5,0.278959968,Active
open-webui/open-webui,Python,124061,17519,237,28,0,3,173,297,14,4851,0.464077513,2704,0.917097874,4,0.280595086,Active
open-webui/open-webui,Python,124061,17519,237,28,0,4,145,144,89,2948,0.675868696,199,0.769921817,7,0.1993755,Active
open-webui/open-webui,Python,124061,17519,237,28,0,5,121,255,54,2622,0.500483389,1301,0.521340936,4,0.133785505,Active
open-webui/open-webui,Python,124061,17519,237,28,0,6,12,96,2,4157,0.93705903,2241,0.747671658,10,0.233092302,Active
krahets/hello-algo,Java,122314,14830,27,40,24,1,46,96,85,2376,0.459183289,3837,0.574565994,9,0.067050598,Active
krahets/hello-algo,Java,122314,14830,27,40,24,2,175,52,7,83,0.638298141,487,0.642013406,11,0.161045042,Declining
krahets/hello-algo,Java,122314,14830,27,40,24,3,11,10,78,719,0.718676988,1738,0.734646011,4,0.391759606,Active
krahets/hello-algo,Java,122314,14830,27,40,24,4,105,49,16,3064,0.444994962,1156,0.618492344,8,0.303544985,Declining
krahets/hello-algo,Java,122314,14830,27,40,24,5,189,142,19,753,0.474763992,2389,0.892245488,6,0.108022351,Active
krahets/hello-algo,Java,122314,14830,27,40,24,6,107,97,29,173,0.837631827,1912,0.662082474,3,0.335084652,Declining
kubernetes/kubernetes,Go,120521,42464,2643,142,0,1,59,76,32,858,0.461532933,1808,0.785935478,10,0.1756277,Active
kubernetes/kubernetes,Go,120521,42464,2643,142,0,2,90,151,19,4447,0.45770069,2288,0.58402863,4,0.174170675,Active
kubernetes/kubernetes,Go,120521,42464,2643,142,0,3,180,96,37,793,0.90753256,3610,0.82977792,8,0.212242747,Declining
kubernetes/kubernetes,Go,120521,42464,2643,142,0,4,31,104,91,1633,0.492278937,1760,0.880830357,9,0.131379745,Declining
kubernetes/kubernetes,Go,120521,42464,2643,142,0,5,70,276,6,2226,0.532705511,3267,0.733718492,1,0.161411624,Active
kubernetes/kubernetes,Go,120521,42464,2643,142,0,6,179,179,47,3433,0.837677389,2026,0.668381087,8,0.110799812,Active
electron/electron,C++,120109,16993,900,156,0,1,198,284,13,1264,0.857052305,261,0.539622775,7,0.275940395,Declining
electron/electron,C++,120109,16993,900,156,0,2,11,46,90,1305,0.943387276,1179,0.854595294,1,0.20018024,Declining
electron/electron,C++,120109,16993,900,156,0,3,193,192,36,2563,0.664968136,2223,0.922504145,9,0.091697621,Active
electron/electron,C++,120109,16993,900,156,0,4,178,128,41,1866,0.879059147,3279,0.535347427,6,0.21136849,Declining
electron/electron,C++,120109,16993,900,156,0,5,11,268,61,3389,0.51167419,3725,0.977112686,4,0.051183147,Declining
electron/electron,C++,120109,16993,900,156,0,6,31,209,59,1754,0.437932695,275,0.625156459,4,0.49942671,Declining
ripienaar/free-for-dev,HTML,117951,12079,12,132,2,1,198,164,69,2637,0.610445531,1236,0.677671169,1,0.082904158,Active
ripienaar/free-for-dev,HTML,117951,12079,12,132,2,2,16,72,95,3770,0.642658548,1279,0.517511779,9,0.108646444,Declining
ripienaar/free-for-dev,HTML,117951,12079,12,132,2,3,157,165,74,2444,0.442990292,2870,0.832067312,11,0.23346837,Active
ripienaar/free-for-dev,HTML,117951,12079,12,132,2,4,40,264,41,3523,0.513442815,3861,0.566699234,6,0.141807895,Declining
ripienaar/free-for-dev,HTML,117951,12079,12,132,2,5,52,176,49,4804,0.465999491,994,0.538940289,5,0.195569213,Declining
ripienaar/free-for-dev,HTML,117951,12079,12,132,2,6,186,102,88,3715,0.760203875,760,0.752192279,8,0.259258924,Active
excalidraw/excalidraw,TypeScript,116827,12537,2786,74,1,1,10,84,62,3601,0.877418247,183,0.541944265,2,0.377149156,Active
excalidraw/excalidraw,TypeScript,116827,12537,2786,74,1,2,65,264,82,4619,0.732987297,3125,0.594223645,11,0.41997865,Active
excalidraw/excalidraw,TypeScript,116827,12537,2786,74,1,3,62,114,55,1565,0.404983994,1763,0.577952003,6,0.066377026,Declining
excalidraw/excalidraw,TypeScript,116827,12537,2786,74,1,4,58,90,79,3092,0.604118328,3370,0.634277101,7,0.300195362,Declining
excalidraw/excalidraw,TypeScript,116827,12537,2786,74,1,5,100,256,86,1620,0.60250615,2944,0.669539756,6,0.23893716,Active
excalidraw/excalidraw,TypeScript,116827,12537,2786,74,1,6,63,118,35,4415,0.412348551,2294,0.923081277,0,0.23961473,Active
justjavac/free-programming-books-zh_CN,,116320,28348,31,149,581,1,190,189,53,1857,0.790966647,2701,0.593476267,10,0.325421307,Active
justjavac/free-programming-books-zh_CN,,116320,28348,31,149,581,2,192,12,61,2840,0.529796962,1367,0.570030844,9,0.440849678,Active
justjavac/free-programming-books-zh_CN,,116320,28348,31,149,581,3,119,149,12,3253,0.688474032,590,0.872735886,3,0.177594955,Active
justjavac/free-programming-books-zh_CN,,116320,28348,31,149,581,4,60,240,68,2964,0.547595182,1547,0.930386215,10,0.336936465,Active
justjavac/free-programming-books-zh_CN,,116320,28348,31,149,581,5,187,135,98,3210,0.84206253,2028,0.917383034,8,0.353202422,Declining
justjavac/free-programming-books-zh_CN,,116320,28348,31,149,581,6,124,299,54,372,0.466572017,2091,0.914804938,0,0.492504789,Declining
nodejs/node,JavaScript,115729,34750,2459,136,0,1,149,231,40,2665,0.929432421,1971,0.913259881,11,0.361782348,Active
nodejs/node,JavaScript,115729,34750,2459,136,0,2,88,50,82,1838,0.795690545,1920,0.510332714,11,0.42977735,Active
nodejs/node,JavaScript,115729,34750,2459,136,0,3,153,229,47,3441,0.535676923,2089,0.86857851,7,0.432816199,Active
nodejs/node,JavaScript,115729,34750,2459,136,0,4,47,86,87,4368,0.411803846,1384,0.769243399,4,0.327161678,Declining
nodejs/node,JavaScript,115729,34750,2459,136,0,5,149,75,90,2659,0.473983707,2396,0.57068441,4,0.348148057,Active
nodejs/node,JavaScript,115729,34750,2459,136,0,6,115,58,10,2743,0.465359728,670,0.717084837,9,0.217415107,Declining
x1xhlol/system-prompts-and-models-of-ai-tools,,114722,29622,124,11,0,1,102,132,16,2415,0.747799083,3605,0.829957423,4,0.376895502,Declining
x1xhlol/system-prompts-and-models-of-ai-tools,,114722,29622,124,11,0,2,117,234,7,1316,0.711211103,1780,0.651965911,0,0.42595105,Declining
x1xhlol/system-prompts-and-models-of-ai-tools,,114722,29622,124,11,0,3,78,50,17,534,0.751799033,2895,0.795322003,9,0.065382986,Active
x1xhlol/system-prompts-and-models-of-ai-tools,,114722,29622,124,11,0,4,104,60,8,4755,0.79863166,2635,0.531806434,5,0.399014253,Declining
x1xhlol/system-prompts-and-models-of-ai-tools,,114722,29622,124,11,0,5,130,229,89,4323,0.705171532,3357,0.618583585,6,0.497805494,Declining
x1xhlol/system-prompts-and-models-of-ai-tools,,114722,29622,124,11,0,6,82,203,23,4347,0.428407185,2422,0.507473705,1,0.108546358,Declining
d3/d3,Shell,112343,22818,27,187,75,1,126,83,40,1130,0.94946712,2697,0.549382267,7,0.391739311,Declining
d3/d3,Shell,112343,22818,27,187,75,2,56,261,12,3974,0.623232253,3759,0.872571987,7,0.373051117,Declining
d3/d3,Shell,112343,22818,27,187,75,3,72,101,63,2753,0.693654907,1510,0.870944141,1,0.467844577,Active
d3/d3,Shell,112343,22818,27,187,75,4,159,234,64,3072,0.948348425,2649,0.741397675,8,0.11589064,Active
d3/d3,Shell,112343,22818,27,187,75,5,29,24,33,2068,0.407954215,609,0.877997768,1,0.146432718,Active
d3/d3,Shell,112343,22818,27,187,75,6,110,256,80,1946,0.710292067,883,0.526423798,1,0.499035154,Active
iptv-org/iptv,TypeScript,111636,5600,318,88,0,1,166,269,69,2399,0.578431292,3107,0.541561241,4,0.245236956,Declining
iptv-org/iptv,TypeScript,111636,5600,318,88,0,2,55,160,46,1860,0.6769739,3088,0.740131798,3,0.060870221,Active
iptv-org/iptv,TypeScript,111636,5600,318,88,0,3,56,118,6,1279,0.859044849,526,0.684248176,9,0.294600894,Declining
iptv-org/iptv,TypeScript,111636,5600,318,88,0,4,65,236,45,1812,0.764243201,2782,0.811107662,1,0.144655948,Declining
iptv-org/iptv,TypeScript,111636,5600,318,88,0,5,62,174,60,4805,0.659110745,3110,0.809023186,4,0.385537498,Active
iptv-org/iptv,TypeScript,111636,5600,318,88,0,6,80,10,90,534,0.759925175,504,0.838847028,4,0.175870273,Active
mrdoob/three.js,JavaScript,110892,36274,604,193,0,1,112,155,8,1275,0.859901082,3718,0.76153174,3,0.304176023,Declining
mrdoob/three.js,JavaScript,110892,36274,604,193,0,2,126,48,42,1039,0.723153589,3945,0.53279303,9,0.414047964,Declining
mrdoob/three.js,JavaScript,110892,36274,604,193,0,3,36,248,57,922,0.631847327,2234,0.539411696,7,0.49014401,Active
mrdoob/three.js,JavaScript,110892,36274,604,193,0,4,27,281,83,1912,0.72261559,821,0.573838454,5,0.386133083,Declining
mrdoob/three.js,JavaScript,110892,36274,604,193,0,5,62,93,26,2903,0.458412216,3770,0.534157823,9,0.441498499,Active
mrdoob/three.js,JavaScript,110892,36274,604,193,0,6,86,156,11,1532,0.435315892,3228,0.772242667,7,0.144612633,Declining
rust-lang/rust,Rust,110346,14498,12083,190,0,1,79,178,54,2793,0.517236448,1076,0.60958306,11,0.150079099,Declining
rust-lang/rust,Rust,110346,14498,12083,190,0,2,9,150,95,1598,0.4890865,358,0.76872585,11,0.314965542,Active
rust-lang/rust,Rust,110346,14498,12083,190,0,3,118,121,34,4395,0.79525056,622,0.942865414,8,0.438005833,Active
rust-lang/rust,Rust,110346,14498,12083,190,0,4,170,210,38,4237,0.940382616,3035,0.575550218,0,0.414833391,Declining
rust-lang/rust,Rust,110346,14498,12083,190,0,5,60,288,26,3957,0.68194132,2129,0.96873922,5,0.205237921,Declining
rust-lang/rust,Rust,110346,14498,12083,190,0,6,197,234,9,4223,0.732629355,1048,0.854064082,8,0.097924593,Active
axios/axios,JavaScript,108602,11519,318,139,1,1,157,134,45,303,0.795838685,1907,0.973972519,2,0.368769075,Active
axios/axios,JavaScript,108602,11519,318,139,1,2,12,265,69,178,0.873687132,3776,0.738889151,4,0.090917384,Active
axios/axios,JavaScript,108602,11519,318,139,1,3,59,80,97,1630,0.863149697,1694,0.710994738,5,0.388123951,Declining
axios/axios,JavaScript,108602,11519,318,139,1,4,169,242,46,4295,0.751709619,83,0.821412291,8,0.397740573,Declining
axios/axios,JavaScript,108602,11519,318,139,1,5,29,245,23,4075,0.601440085,1581,0.892846615,9,0.095793767,Declining
axios/axios,JavaScript,108602,11519,318,139,1,6,40,294,76,3697,0.703183336,3047,0.813848409,10,0.485092026,Active
microsoft/TypeScript,TypeScript,107839,13231,5457,142,0,1,180,218,86,2193,0.513576193,1915,0.978545828,9,0.292943815,Active
microsoft/TypeScript,TypeScript,107839,13231,5457,142,0,2,31,163,5,2916,0.574331443,1721,0.588003034,9,0.419435352,Active
microsoft/TypeScript,TypeScript,107839,13231,5457,142,0,3,91,278,39,4269,0.883084053,391,0.938018897,5,0.432109479,Declining
microsoft/TypeScript,TypeScript,107839,13231,5457,142,0,4,135,181,49,828,0.900656517,2001,0.719694923,0,0.428343949,Active
microsoft/TypeScript,TypeScript,107839,13231,5457,142,0,5,111,233,96,3567,0.628058952,1794,0.806920578,6,0.102157322,Declining
microsoft/TypeScript,TypeScript,107839,13231,5457,142,0,6,94,216,25,2860,0.554116168,2861,0.956191734,11,0.127770855,Active
